tagname,body
"dynamic-linking","Dynamic linking is a process of loading shared libraries by executables at run time."
"resourcedictionary","Provides a hash table / dictionary implementation that contains WPF resources(e.g. vector drawings, brushes, colors, control template, data templates etc.) used by components and other elements of a WPF application."
"results","Results are the output of a function performed on a body of data."
"sqldatareader","Provides a way of reading a forward-only stream of rows from a SQL Server database."
"movement",""
"django-orm","Django's ORM system, comprising its queryset system, and it model system."
"managed-bean","""Managed bean"" is a Java EE specific term for Javabean classes which are designed to act as a controller in some MVC application. They are often referred in context of JSF and CDI."
"jquery-deferred","jQuery's deferred (also known as promises and futures) can be used to manage callback queues"
"httpd","The Hypertext Transfer Protocol Daemon (usually the one released by the Apache Software Group).

Please provide the relevant log entries when asking questions."
"javacv","JavaCV first provides wrappers to commonly used libraries by researchers in the field of computer vision"
"azure-storage-tables","Windows Azure Table storage stores large amounts of structured data. The service is a NoSQL datastore which is ideal for storing structured, non-relational data. "
"sybase-ase","Sybase ASE or Adaptive Server Enterprise is an enterprise RDBMS which has been developed by Sybase Inc (now an SAP company). Sybase ASE is available for various platforms like Unix and Windows. TSQL is the database programming language used by Sybase ASE."
"jasperserver","JasperReports Server (formerly known as JasperServer) is a stand-alone and embeddable reporting server."
"mediaelement","mediaelement is an abstraction used to represent multimedia viewed by a user"
"iterate","To iterate is to go through a list from one entry to the next. Each step in this process is called an iteration. "
"bootstrap","A bootstrap is a series of procedures run when an application starts up or a request over the web is received. For questions about Twitter's Bootstrap CSS framework, please use the twitter-bootstrap tag."
